score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city
55,resultsd,accounting,keywords,0.5,Isännöintitoimisto ja isännöitsijä Tampereella taloyhtiöille,rehti-isannointi.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,
55,resultsd,restaurant,keywords,0.5,Laatu ei ole makuasia. | Puustelli,puustelli.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,,,,
55,resultsd,cleaning,keywords,0.5,Siivoova Oy - Siivouspalvelut Kuopiossa ja Oulussa,siivoova.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
55,resultsd,electrical,keywords,0.5,Sähköliike Joensuussa - S&auml;hk&ouml;-Saarelainen Oy,sahkosaarelainen.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
55,resultsd,cleaning,keywords,0.5,Luotettavaa siivouspalvelua yrityksille ja koteihin | TJ Sii,tjsiivous.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
55,resultsd,cleaning,keywords,0.5,Iloinen ja reipas siivouspalvelu Tampereella - Urhopesu,urhopesu.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
55,resultsd,cleaning,keywords,0.5,Teemme puhtaamman huomisen – Winclean,winclean.fi,B_ads_no_conv_tracking,,,,True,False,True,1,slow_response,wordpress,,,
54,resultsd,hvac,keywords,0.65,Heatco Finland Oy on insinööritoimisto ja LVI-järjestelmien ,heatco.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",wordpress,,,
54,resultsd,,none,0.0,"Luotettavat isännöintipalvelut | Siellä hyvä koti, missä suj",kontuoy.fi,A_ads_weak_site,,,,True,True,True,2,"stale_copyright,slow_response",wordpress,,,
54,resultsd,electrical,keywords,0.5,Meredin,meredin.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",,,,
54,resultsd,cleaning,keywords,0.5,Siivouspalvelu kotiin | Jopa 3 tuntia ilmaiseksi | Omenasiiv,omenasiivous.fi,A_ads_weak_site,,,,True,True,True,2,"no_h1,slow_response",wordpress,,,
49,resultsd,,none,0.0,Venehuolto Mikkeli | Myös palvelut veneen säilytykseen,ahmamotor.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Isännöinti Laukaa | Täyden palvelun isännöintitoimisto,asuville.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,plumbing,keywords,0.5,"LVIS-työt Kemi | Sähkö-, putki- ja ilmastointityöt",ek-asennustekniikka.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Kaivuut Naantali | Kattavat kaivuutyöt Naantalin seudulle,kaivuujakuljetusptmakela.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Etusivu - Kolmen Sepän Isännöinti,kolmensepanisannointi.fi,A_ads_weak_site,,,,True,False,False,2,"no_meta_description,slow_response",wordpress,,,
49,resultsd,plumbing,keywords,0.65,Putkityöt Lahti | Kokenut LVI-asiantuntijasi Päijät-Hämeessä,lahdenputkipalvelut.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Kuljetusliike Kurikka | Maa-aineskuljetukset luotettavasti,latvaluopa.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Maanrakennus Pirkanmaa | Luotettavasti ja varmasti,mrvinfra.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,"Maanrakennus Lahti, Hollola | Salaojat, jätevedet, radonkaiv",mrlt.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,"Pienkone Siilinjärvi | Myynti, huolto ja korjaus",pienkone-ekspertit.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,plumbing,keywords,0.5,LVI-työt Lappeenranta | Osaava LVI-asentaja palveluksessasi!,putkiahti.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,cleaning,keywords,0.5,"Siivouspalvelut Helsinki, Espoo &amp; Vantaa - Rakas Koti",rakaskoti.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,wordpress,,,
49,resultsd,,none,0.0,Maanrakennus Etelä-Suomi | Palvelemme pääkaupunkiseudulla,rakennustyohostikka.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,electrical,keywords,0.5,Sähköurakointi Turku | Sähköasennus Ristimäki Oy,sahkoasennus-ristimaki.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,cleaning,keywords,0.5,Siivouspalvelut yrityksille – Siskon Siivous,siskonsiivous.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,wordpress,,,
49,resultsd,,none,0.0,Kokkolasta traktorin renkaat koko Suomeen | SKT-rengas,sktrengas.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,,none,0.0,Koneliike Ivalo | Myynti ja huollot saman katon alta,tarvikecenter.com,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,hvac,keywords,0.5,Ilmanvaihtotyöt yrityksille - TJ-Airtec Oy,tjairtec.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,hvac,keywords,0.5,"Maalämpöpumput, lämpöpumput | Raahe, Oulu, | Uusiolämpö Oy R",uusiolampo.fi,B_ads_no_conv_tracking,,,,True,False,True,0,,,,,
49,resultsd,accounting,keywords,0.5,Tunturi-Lapin Isännöintipalvelu Oy,tunturilapinisannointipalvelu.fi,A_ads_weak_site,,,,True,False,False,2,"no_h1,slow_response",,,,
48,resultsd,cleaning,keywords,0.5,"Siivouspalvelu Helsinki, Vantaa, Espoo | Aton Oy",aton.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,electrical,keywords,0.5,Etusivu - AM-Sähkö Oy,amsahko.net,A_ads_weak_site,,,,True,True,False,3,"no_meta_description,no_h1,slow_response",wordpress,,,
48,resultsd,,none,0.0,Veneen yhteisomistus ammattimaisesti - Boatslice,boatslice.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,electrical,keywords,0.5,Tilaa kaikki sähkötyöt helposti Elfinin kautta | Elfin,elfin.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,,none,0.0,Global Transport and Logistics | DSV,dsv.com,C_ads_ok_site,,,,True,True,True,1,no_meta_description,,,,
48,resultsd,,none,0.0,Isännöintitoimisto Fluxio - Fiksumpaa isännöintiä,fluxioisannointi.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,Kotisiivous Turku &amp; Tampere - Freesikoti Oy,freesikoti.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,cleaning,keywords,0.5,IloClean Oy – Siivouspalvelu Pori - Porilainen siivousfirma,iloclean.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,Kotisiivous ja siivouspalvelut Oulu | Helpmax,helpmax.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,,none,0.0,Isännöintipiste – Laadukas isännöintitoimisto Vantaalla,isannointipiste.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,,none,0.0,Etusivu - Kaukokiito,kaukokiito.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,Siivouspalvelut kotiin – Onni kotisiivous,kotisiivooja.com,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,,none,0.0,Alueellinen ykkönen - kaikki kiviainekset ja kuljetukset,laaninkuljetus.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,"Onnellisempi arki, koti kerrallaan | Koti Puhtaaksi 🧡",kotipuhtaaksi.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,plumbing,keywords,0.5,Henkilökunta valmiina palvelukseen | Lahden Putkihuolto Oy,lph.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,Alan paras mitattu asiakastyytyväisyys,lempi.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,,none,0.0,Maritim venetarvikkeet veneilyyn ja purjehdukseen,maritim.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,"Pohjanmaan Siivous | Siivouspalvelu Vaasa, Oulu, Seinäjoki",pohjanmaansiivous.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,hvac,keywords,0.5,Ilmanvaihtoremontit ja kattoremontit asiantuntevasti | Raken,rakennecenter.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,,none,0.0,Raymarine | UK | Reliable Marine and Boat Electronics,raymarine.com,C_ads_ok_site,,,,True,True,True,1,slow_response,,,,
48,resultsd,plumbing,keywords,0.5,Retta Isännöinti: Yhdessä askeleen edellä,retta.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,accounting,keywords,0.65,Mutkatonta tilitoimistopalvelua ja isännöintiä - Taloustaita,taloustaitaja.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,cleaning,keywords,0.5,Ensiluokkainen siivouspalvelu kotiin ja yrityksille | WashUP,washup.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
48,resultsd,,none,0.0,Isännöinti Vuorma Oy | Isännöintitoimisto Oulu,vuorma.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,
43,resultsd,cleaning,keywords,0.5,"Diakon | Asuminen, Siivous, Kotihoito, Terveys, Juhla ja Hau",diakon.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,cleaning,keywords,0.5,Thermostar kuivahöyrypesurit ekologiseen siivoukseen!,hygisafe.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,cleaning,keywords,0.5,"Kuopio, Siilinjärvi, Tahko - Kotisiivous hinta, Kemikaaliton",kuopiontehosiivous.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,cleaning,keywords,0.5,Siivoukset Oulun seudulla - Smobbi,smobbi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,stale_copyright,wordpress,,,
43,resultsd,,none,0.0,Etusivu - SKH Isännöinti Oy,skh.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,,none,0.0,Parempaa isännöintiä - Tasotalo isännöinti,tasotalo.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,,none,0.0,TiKo Isännöinti,tikoisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,squarespace,,,
43,resultsd,,none,0.0,Tie tuottajilta ruokapöytiin - Tuoretie,tuoretie.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,accounting,keywords,0.5,Selkeää ja tavoitettavaa isännöintiä - Trio Isännöinti,trioisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
43,resultsd,electrical,keywords,0.5,Telilä - Kumppani teollisuuden ja tulevaisuuden sähköurakoin,telila.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,
42,resultsd,,none,0.0,eTalo Isännöinti,etalo.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,,none,0.0,Yrityshaku ja päättäjähaku: Kaikki yritystiedot | Finder,finder.fi,C_ads_ok_site,,,,True,True,True,0,,nextjs,,,
42,resultsd,accounting,keywords,0.5,Laadukasta isännöintipalvelua - Helsingin Seudun Isännöitsij,hsi.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,cleaning,keywords,0.5,"Siivouspalvelut yrityksille ja taloyhtiöille - Turku, Raisio",huoltosiivous.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,real_estate,keywords,0.5,Kiinteistötahkola / Kiinteistötahkola - isännöintiä ja välit,kiinteistotahkola.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,cleaning,keywords,0.5,Kodin siivouspalvelut - Kodinhoitajapäiväksi,kodinhoitajapaivaksi.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,cleaning,keywords,0.5,Kotisiivous - siivouspalvelu kotiin kokemuksella | Kotileena,kotileena.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,cleaning,keywords,0.5,"Kotirinki: kotisiivous, siivouspalvelu, kotiapu – Tilaa neti",kotirinki.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,plumbing,keywords,0.5,LVI-työt Kuopio,lampovelho.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,cleaning,keywords,0.5,Loiste Siivous – puhtaasti parempi siivous,loistesiivous.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,restaurant,keywords,0.5,Etusivu - Let&#039;s GO TAKSI,letsgo.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,plumbing,keywords,0.5,LVI asennukset Lohjalla hoitaa K&amp;T Pipe Oy,ktpipe.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,
42,resultsd,,none,0.0,Etusivu - Maansiirto Harry Mäkelä,maansiirtomakela.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,,none,0.0,"Pesurivuokraus.fi - Tekstiilipesurin vuokraus, Höyrypesurin ",pesurivuokraus.fi,C_ads_ok_site,,,,True,True,True,0,,,,,
42,resultsd,cleaning,keywords,0.5,"Siivous-, saneeraus- ja vahinkopalvelut - Optimasiivous",optimasiivous.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,cleaning,keywords,0.5,Siivouspalvelut Oulu | Kotisiivous ja pihatyöt Oulun seudull,arvojes.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,
42,resultsd,,none,0.0,M-Kone - Perämoottorin varaosat,mkone.fi,A_ads_weak_site,,,,True,True,False,2,"no_h1,slow_response",,,,
42,resultsd,cleaning,keywords,0.5,Etusivu - Pirkanmaan Laatuis&auml;nn&ouml;inti Oy,pirkanmaanlaatuisannointi.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,
42,resultsd,,none,0.0,Reilu Isännöinti &#8211; Turhautuminen vanhakantaisiin työta,reiluisannointi.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,cleaning,keywords,0.5,Siivous Oulu: Palvelu yrityksille ja kotitalouksille,serviceone.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,cleaning,keywords,0.5,Sivina Oy – Kotisiivous &amp; palvelut lapsiperheille ja kot,sivina.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,hvac,keywords,0.65,"Kerrostalon lämmitys, lämmön talteenotto (PILP) ja maalämpö",smartheating.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,
42,resultsd,plumbing,keywords,0.5,Suunnos Oy | Käytännönläheistä LVI-suunnittelua.,suunnos.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",webflow,,,
42,resultsd,accounting,keywords,0.5,"Taloasema - Isännöintiä, jonka tunnet.",taloasema.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,
42,resultsd,,none,0.0,Täyden palvelun veneliike | Venekeskus.com,venekeskus.com,C_ads_ok_site,,,,True,True,True,0,,,,,
37,resultsd,restaurant,keywords,0.5,ADA Isännöinti - Etusivu,adaisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,hotel,keywords,0.65,Talotekninen suunnittelu - Insinööritoimisto Äyräväinen,ayravainen.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,hvac,keywords,0.5,Suunnittelupalvelut lämpöpumppuratkaisuihin | Atlas Energia,atlasenergia.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,elementor,,,
37,resultsd,cleaning,keywords,0.5,Siivous - Onnellisempaa arkea puhtaassa kodissa - Kotova,kotova.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,cleaning,keywords,0.5,Siivous- ja kotiapupalvelut | Kotiapusi Oy,kotiapusi.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,webflow,,,
37,resultsd,plumbing,keywords,0.5,"LVI-insinööritoimisto Karlsson, Karves &amp; Co Oy",lvitsto-karlsson.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,cleaning,keywords,0.5,Välittävää siivouspalvelua Jyväskylässä | Puhdina,puhdina.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,webflow,,,
37,resultsd,cleaning,keywords,0.5,"Siivousfirma, siivouspalvelu, kotisiivous &amp; siivousapu J",siivoussolina.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,,none,0.0,Kotimaiset veneilytarvikkeet soutamiseen | Soutu Finland Oy,soutu.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,
37,resultsd,,none,0.0,Isännöintitoimisto | Lopen Talo &amp; Tili isännöinti,talotili.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,
37,resultsd,accounting,keywords,0.5,Isännöinti Lahti | Vastuullinen isännöitsijä | Tammentalot,tammentalot.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,wordpress,,,
37,resultsd,,none,0.0,Maanrakennus- ja kaivinkonepalvelut luotettavasti ja ammatti,torttilaoy.fi,B_ads_no_conv_tracking,,,,True,False,False,0,,,,,
36,resultsd,cleaning,keywords,0.5,Kotisiivous pääkaupunkiseudulla – Clean Spot Oy,cleanspot.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,,none,0.0,Suomen Alitustekniikka Oy &#8211; Kaivamattoman tekniikan am,alitustekniikka.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,real_estate,schema_org,0.95,"Vuokravälitys, hallinnointi &amp; isännöinti | Asuntopehtoor",asuntopehtoori.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,cleaning,keywords,0.5,"Siivouspalvelu pääkaupunkiseudulla | Isojoo | alkaen 32,37 €",isojoo.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,
36,resultsd,cleaning,keywords,0.5,Duo Siivouspalvelut – Luotettavat ja paikalliset siivouspalv,duosiivouspalvelut.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,cleaning,keywords,0.5,GreenVibe – Ekologista ja luotettavaa siivouspalvelua,greenvibe.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,plumbing,keywords,0.5,LVI-Sasto hallitsee talotekniikan ratkaisut -LVI-suunnittelu,lvi-sasto.com,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,
36,resultsd,,none,0.0,Lännen Isännöintipalvelu - laadukasta ja luotettavaa isännöi,lipalvelu.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,restaurant,keywords,0.5,Isännöinti Helsinki | Is&auml;nn&ouml;itsij&auml;toimisto Fa,fallenius.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,hvac,keywords,0.5,Marnela - jo vuodesta 1968,marnela.com,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,accounting,keywords,0.5,Isännöinti Oulu &amp; Helsinki | Taloyhtiöiden luottokumppan,oit.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,cleaning,keywords,0.5,Pikkuapu – Joskus sitä tarvitsee,pikkuapu.fi,C_ads_ok_site,,,,True,True,False,1,stale_copyright,,,,
36,resultsd,restaurant,keywords,0.5,Paloturvallisuuden asiantuntija | Paloturvasuunnittelu Block,paloturvasuunnittelu.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,,none,0.0,Pienkonehuolto | Pienkone | Heinola,pienkonehuoltosiekkinen.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,
36,resultsd,plumbing,keywords,0.5,Insinööritoimisto Putkimaailma Oy | LVI-suunnittelu ja -sane,putkimaailma.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,accounting,keywords,0.5,Etusivu - REIM Isännöinti,reim.fi,C_ads_ok_site,,,,True,True,False,1,no_meta_description,wordpress,,,
36,resultsd,cleaning,keywords,0.5,Siivouspalvelu Tampere - Safai,safai.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,nextjs,,,
36,resultsd,cleaning,keywords,0.5,Kotisiivous Espoo - Siivous Eliitti,siivouseliitti.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,cleaning,keywords,0.5,Tilaasiivous.com &#8211; Tilaasiivous.com,tilaasiivous.com,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,
36,resultsd,cleaning,keywords,0.5,Yritys- ja taloyhtiösiivouksiin erikoistunut Tupla-Luuta Oy,tuplaluuta.fi,C_ads_ok_site,,,,True,True,False,1,no_h1,wordpress,,,
36,resultsd,cleaning,keywords,0.5,Etusivu - Trinomi Siivouspalvelut,trinomi.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,
36,resultsd,cleaning,keywords,0.5,TEN-yhtiö Oy - Siivouspalvelut kotiin Lahdessa ja lähikunnis,tenyhtio.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,hvac,schema_org,0.95,V-S Energiatalo Oy - Ilmanvaihdon ammattilainen Turun alueel,vsenergiatalo.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,wordpress,,,
36,resultsd,cleaning,keywords,0.5,"Yrityssiivous Helsinki, Espoo, Vantaa - toimistosiivous - Si",yrityssiivoushelsinki.fi,C_ads_ok_site,,,,True,True,False,1,slow_response,,,,
30,resultsd,cleaning,keywords,0.5,"CLEANii koti- ja siivouspalvelu - Vantaa, Helsinki, Espoo",cleanii.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,electrical,keywords,0.5,"Alti-Systems - Vaativa kylmä­tekniikka, jäähdytys ja lämmity",alti-systems.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,,none,0.0,JM Laatuisännöinti Oy &#8211; Laatua kiinteistönne parhaaksi,jmlaatuisannointi.fi,A_ads_weak_site,,,,False,False,True,3,"no_meta_description,no_h1,slow_response",wordpress,,,
30,resultsd,hvac,keywords,0.65,Lapin LVI-asennus,lapinlviasennus.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,laundry,keywords,0.5,Maanrakennustyöt Mikkeli | Vuosikymmenten kokemuksella,maanrakennuspajunen.fi,C_ads_ok_site,,,,True,True,False,0,,,,,
30,resultsd,hvac,keywords,0.65,LVI-suunnittelu I LVI-suunnitelmat yli 60 vuoden kokemuksell,lvisuunnittelucenter.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,cleaning,keywords,0.5,Laadukkaita siivouspalveluita Pirkanmaalla - Näsin Siivous,nasinsiivous.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,cleaning,keywords,0.5,Etusivu - Puhtosin - Siivouspalveluja kotitalouksille ja yri,puhtosin.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,plumbing,keywords,0.5,Etusivu,piirosto.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,,none,0.0,www.Suomen Pumppaamo-Muovitekniikka Oy.fi,spm-tekniikka.fi,C_ads_ok_site,,,,True,True,False,0,,,,,
30,resultsd,,none,0.0,Viemäriremontti Keski-Suomi | Suunnittelu- ja konsultointi,suomenputkitaso.fi,C_ads_ok_site,,,,True,True,False,0,,,,,
30,resultsd,cleaning,keywords,0.5,Siivouspalvelut yrityksille ja kiinteistöille | Tasolaiset O,tasolaiset.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
30,resultsd,,none,0.0,Isännöintipalvelu Terwa - Paikallista isännöintiä Oulussa,terwaisannointi.fi,C_ads_ok_site,,,,True,True,False,0,,wordpress,,,
