domain,segment,aspakone_segment,niche,niche_source,niche_confidence,ecom_platforms,payment_providers,is_webshop,chat_vendors,google_ads,google_conv_tracking,aw_ids,meta_pixel,meta_pixel_ids,bing_uet,linkedin,quality_issues,favicon_missing,no_meta_description,no_viewport,stale_copyright,slow_response,platform,response_ms,title,company,error
raymarine.com,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,AW-16514094104 AW-16521767412 AW-16521867199 AW-16521896295 AW-16521957644 AW-16521959388 AW-16524510538 AW-17159175188,True,,False,False,1,False,False,False,False,True,,4795,Raymarine | UK | Reliable Marine and Boat Electronics,Raymarine Finland Oy,
maijasto.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,magento,,False,,True,False,,True,,False,False,1,False,False,False,False,True,squarespace,3182,Maijasto,Maijasto Oy,
kaivuujakuljetusptmakela.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2328,Kaivuut Naantali | Kattavat kaivuutyöt Naantalin seudulle,Kaivuu ja kuljetus P & T Mäkelä,
siskonsiivous.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,,,False,,True,False,,True,,False,False,0,False,False,False,False,False,wordpress,2339,Siivouspalvelut yrityksille – Siskon Siivous,Siskon Siivous Oy,
rakaskoti.fi,B_ads_no_conv_tracking,S1_webshop,cleaning,keywords,0.5,woocommerce vilkas_epages,paytrail mobilepay,True,,True,False,,True,3827954397505497,False,False,0,False,False,False,False,False,wordpress,2054,"Siivouspalvelut Helsinki, Espoo &amp; Vantaa - Rakas Koti",Rakas koti Oy,
ktpipe.fi,A_ads_weak_site,S2_advertiser,plumbing,keywords,0.5,woocommerce,,False,,True,True,AW-687369674,False,,False,False,2,False,False,False,True,True,wordpress,6788,LVI asennukset Lohjalla hoitaa K&amp;T Pipe Oy,K&T Pipe Oy,
mrlt.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,2546,"Maanrakennus Lahti, Hollola | Salaojat, jätevedet, radonkaivot...",Maanrakennus L&T Oy,
mmsiivouspalvelut.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2297,Siivouspalvelut Espoo | Koti- ja yrityssiivousta,MM Siivouspalvelut Oy,
ahmamotor.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,0,False,False,False,False,False,,2194,Venehuolto Mikkeli | Myös palvelut veneen säilytykseen,Ahmamotor Oy,
koneurakointihartikka.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,3589,Maanrakennus Oulu | Myös vaihtolavojen vuokraus,Koneurakointi Hartikka Oy,
siivoova.fi,B_ads_no_conv_tracking,S3_chat_switcher,cleaning,keywords,0.5,woocommerce,,True,tawk,True,False,,True,,False,False,1,False,False,False,False,True,wordpress,2621,Siivoova Oy - Siivouspalvelut Kuopiossa ja Oulussa,Siivoova Oy - Siivouspalvelut Kuopiossa,
heatco.fi,C_ads_ok_site,S2_advertiser,hvac,keywords,0.65,,,False,,True,True,AW-971153213,True,,False,False,1,False,False,False,False,False,wordpress,2174,Heatco Finland Oy on insinööritoimisto ja LVI-järjestelmien tukkutoimittaja,AE Engineering Oy,
urhopesu.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,False,,True,,False,False,0,False,False,False,False,False,wordpress,2259,Iloinen ja reipas siivouspalvelu Tampereella - Urhopesu,Urhopesu Oy,
hameenlaatusiivous.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,,,False,,True,False,,True,907268187948261,False,False,0,False,False,False,False,False,wordpress,2035,Siivous Tampere ja Pirkanmaa | Hämeen Laatusiivous Oy,Hämeen Laatusiivous Oy,
oit.fi,C_ads_ok_site,S2_advertiser,accounting,keywords,0.5,,,False,,True,True,AW-912136632,False,,False,False,0,False,False,False,False,False,wordpress,1992,Isännöinti Oulu &amp; Helsinki | Taloyhtiöiden luottokumppani – OIT,OIT Isännöinti Oy,
lapinlviasennus.fi,C_ads_ok_site,S1_webshop,hvac,keywords,0.65,woocommerce vilkas_epages,,True,,True,True,AW-860211905,False,,False,False,0,False,False,False,False,False,wordpress,1611,Lapin LVI-asennus,Lapin Lvi-Asennus Oy,
tjsiivous.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,,,False,,True,False,,True,1582709232772232,False,False,1,False,False,False,False,True,wordpress,2800,Luotettavaa siivouspalvelua yrityksille ja koteihin | TJ Siivous,TJ Siivous ja kotiapu,
omenasiivous.fi,A_ads_weak_site,S1_webshop,cleaning,keywords,0.5,woocommerce,,True,,True,True,AW-16753740316,True,2011147952987971,False,False,2,False,False,False,False,True,wordpress,3633,Siivouspalvelu kotiin | Jopa 3 tuntia ilmaiseksi | Omenasiivous,Omenasiivous,
talotili.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,False,,False,False,0,False,False,False,False,False,,1783,Isännöintitoimisto | Lopen Talo &amp; Tili isännöinti,Lopen Talo & Tili Oy,
pienkone-ekspertit.fi,B_ads_no_conv_tracking,S2_advertiser,,none,0.0,vilkas_epages,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,4673,"Pienkone Siilinjärvi | Myynti, huolto ja korjaus",Pienkone-Ekspertit Oy Husqvarna,
lipalvelu.fi,C_ads_ok_site,S3_chat_switcher,,none,0.0,,,False,giosg,True,True,16989531433,False,,False,False,1,False,False,False,False,True,wordpress,2780,Lännen Isännöintipalvelu - laadukasta ja luotettavaa isännöintiä,Lännen Isännöintipalvelu Oy,
puustelli.fi,B_ads_no_conv_tracking,S2_advertiser,restaurant,keywords,0.5,,,False,,True,False,,True,,False,False,1,False,False,False,False,True,,6421,Laatu ei ole makuasia. | Puustelli,TT Better Trading Oy,
reim.fi,C_ads_ok_site,S2_advertiser,accounting,keywords,0.5,,,False,,True,True,AW-10992243926,False,,False,False,1,False,True,False,False,False,wordpress,1813,Etusivu - REIM Isännöinti,REIM Lappeenranta Oy Ltd,
meredin.fi,A_ads_weak_site,S1_webshop,electrical,keywords,0.5,vilkas_epages,klarna,True,,True,True,AW-11098609041,True,779358773323245,False,False,2,False,False,False,False,True,,3387,Meredin,Meredin,
alti-systems.fi,C_ads_ok_site,S3_chat_switcher,electrical,keywords,0.5,woocommerce,,False,leadoo,True,True,24943433 879403116,False,,False,False,0,False,False,False,False,False,wordpress,1968,"Alti-Systems - Vaativa kylmä­tekniikka, jäähdytys ja lämmitys - Turku",Alti-Systems Oy,
etalo.fi,C_ads_ok_site,S1_webshop,,none,0.0,woocommerce,paytrail,True,,True,True,AW-11160445793,True,826797507424793,False,False,0,False,False,False,False,False,wordpress,1609,eTalo Isännöinti,Etalo Isännöinti Oy,
kolmensepanisannointi.fi,A_ads_weak_site,S2_advertiser,,none,0.0,,,False,,True,False,,False,,False,False,2,False,True,False,False,True,wordpress,3363,Etusivu - Kolmen Sepän Isännöinti,Kolmen Sepän Isännöinti Oy,
reiluisannointi.fi,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,365635314,True,,False,False,0,False,False,False,False,False,wordpress,2058,Reilu Isännöinti &#8211; Turhautuminen vanhakantaisiin työtapoihin sai meidät miettimään asioita uudestaan. Asiakkaan nä,Reilu Isännöinti Oy,
sivina.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-792308948,True,,False,False,0,False,False,False,False,False,wordpress,1602,Sivina Oy – Kotisiivous &amp; palvelut lapsiperheille ja kotiin,Sivina Helsinki,
kotirinki.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-1071768043,True,,False,False,0,False,False,False,False,False,,1467,"Kotirinki: kotisiivous, siivouspalvelu, kotiapu – Tilaa netist&#228;",Kotirinki Helsinki,
taloasema.fi,C_ads_ok_site,S2_advertiser,accounting,keywords,0.5,,,False,,True,True,AW-806516981,True,,False,False,0,False,False,False,False,False,wordpress,1947,"Taloasema - Isännöintiä, jonka tunnet.",Isännöinti Kärkkäinen Oy,
rakennecenter.fi,C_ads_ok_site,S2_advertiser,hvac,keywords,0.5,,,False,,True,True,AW-16532085213,True,2009850412744719,False,False,0,False,False,False,False,False,,1417,Ilmanvaihtoremontit ja kattoremontit asiantuntevasti | Rakenne Center,Rakenne Center,
taloustaitaja.fi,C_ads_ok_site,S2_advertiser,accounting,keywords,0.65,,,False,,True,True,AW-445598775,True,,False,False,1,False,False,False,False,True,wordpress,4406,Mutkatonta tilitoimistopalvelua ja isännöintiä - Taloustaitaja,Jokilaakson Taloustaitaja Oy,
washup.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,True,AW-11202829320,True,,False,False,1,False,False,False,False,True,wordpress,2764,Ensiluokkainen siivouspalvelu kotiin ja yrityksille | WashUP,WASH UP!,
loistesiivous.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,True,AW-16893074553,True,,False,False,0,False,False,False,False,False,wordpress,762,Loiste Siivous – puhtaasti parempi siivous,Loiste Siivous Oy,
elfin.fi,C_ads_ok_site,S2_advertiser,electrical,keywords,0.5,,,False,,True,True,AW-737708022,True,,True,False,1,False,False,False,False,True,wordpress,4468,Tilaa kaikki sähkötyöt helposti Elfinin kautta | Elfin,LämpöWire Oy,
lempi.fi,C_ads_ok_site,S3_chat_switcher,cleaning,keywords,0.5,,,False,leadoo,True,True,27385089 27385097 346127439,True,,False,False,1,False,False,False,False,True,,2658,Alan paras mitattu asiakastyytyväisyys,Lempi Kodinhoito Oy Tampere,
tunturilapinisannointipalvelu.fi,A_ads_weak_site,S2_advertiser,accounting,keywords,0.5,,,False,,True,False,,False,,False,False,2,False,False,False,False,True,,6950,Tunturi-Lapin Isännöintipalvelu Oy,Tunturi-Lapin Isännöintipalvelu Oy,
kotisiivooja.com,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,974776047,True,,True,False,0,False,False,False,False,False,,1668,Siivouspalvelut kotiin – Onni kotisiivous,Kotisiivooja,
pesurivuokraus.fi,C_ads_ok_site,S3_chat_switcher,,none,0.0,,,False,tawk,True,True,852142919,True,,True,False,1,False,False,False,False,True,,3398,"Pesurivuokraus.fi - Tekstiilipesurin vuokraus, Höyrypesurin vuokraus - kätevästi netissä",Pesurivuokraus,
smobbi.fi,A_ads_weak_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,False,,False,,False,False,2,False,False,False,True,True,wordpress,8824,Siivoukset Oulun seudulla - Smobbi,Smobbi Oy,
iloclean.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,17393161595,True,,False,False,0,False,False,False,False,False,wordpress,2233,IloClean Oy – Siivouspalvelu Pori - Porilainen siivousfirma,iloClean Oy,
kotileena.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-1070458606,True,,False,False,0,False,False,False,False,False,,2033,Kotisiivous - siivouspalvelu kotiin kokemuksella | Kotileena,Kotileena Jyväskylä,
fallenius.fi,C_ads_ok_site,S3_chat_switcher,restaurant,keywords,0.5,,,False,leadoo,True,True,AW-16986607999,False,,False,False,1,False,False,False,False,True,wordpress,10343,Isännöinti Helsinki | Is&auml;nn&ouml;itsij&auml;toimisto Fallenius,Isännöitsijätoimisto Fallenius Oy,
optimasiivous.fi,C_ads_ok_site,S3_chat_switcher,cleaning,keywords,0.5,woocommerce,,False,tawk,True,True,AW-781186208,True,315875994463718,True,False,1,False,False,False,False,True,wordpress,2612,"Siivous-, saneeraus- ja vahinkopalvelut - Optimasiivous",Kalmasiivous Vantaa Optimasiivous Oy,
kotipuhtaaksi.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-344197578,True,,False,False,1,False,False,False,False,True,wordpress,6799,"Onnellisempi arki, koti kerrallaan | Koti Puhtaaksi 🧡",Koti Puhtaaksi Oy,
freesikoti.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-312317323,True,946898867291944,False,False,1,False,False,False,False,True,,4004,Kotisiivous Turku &amp; Tampere - Freesikoti Oy,Freesikoti Oy,
pohjanmaansiivous.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,AW-788783849,True,,False,False,1,False,False,False,False,True,wordpress,5361,"Pohjanmaan Siivous | Siivouspalvelu Vaasa, Oulu, Seinäjoki",Pohjanmaan Siivous Oy,
finder.fi,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,AW-16874675904,True,,False,False,0,False,False,False,False,False,nextjs,2287,Yrityshaku ja päättäjähaku: Kaikki yritystiedot | Finder,Oulun Porrassiivous,
helpmax.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,,,False,,True,True,475414133,True,618420046133942,False,False,1,False,False,False,False,True,wordpress,7601,Kotisiivous ja siivouspalvelut Oulu | Helpmax,Helpmax Siivouspalvelut,
kuopiontehosiivous.fi,B_ads_no_conv_tracking,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,False,,False,,False,False,1,False,False,False,False,True,wordpress,9134,"Kuopio, Siilinjärvi, Tahko - Kotisiivous hinta, Kemikaaliton siivous",Kuopion Tehosiivous Oy,
huoltosiivous.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,vilkas_epages,,False,,True,True,16608122033,True,,False,False,1,False,False,False,False,True,,4255,"Siivouspalvelut yrityksille ja taloyhtiöille - Turku, Raisio, Naantali, Lieto ja Kaarina - Huoltosiivous Turku Oy",Huoltosiivous Turku Oy,
aton.fi,C_ads_ok_site,S3_chat_switcher,cleaning,keywords,0.5,,,False,leadoo crisp,True,True,AW-16490030078,True,,False,False,1,False,False,False,False,True,wordpress,2517,"Siivouspalvelu Helsinki, Vantaa, Espoo | Aton Oy",Siivouspalvelu Aton-yhtiöt,
vesitaito.fi,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,672584047,False,,False,False,0,False,False,False,False,False,wordpress,1689,Energiasuunnittelun ja elinkaariajattelun edelläkävijä | Vesitaito,Insinööritoimisto Vesitaito Oy,
serviceone.fi,C_ads_ok_site,S2_advertiser,cleaning,keywords,0.5,woocommerce,,False,,True,True,AW-1046167149,True,432786994111334,False,False,0,False,False,False,False,False,wordpress,2251,Siivous Oulu: Palvelu yrityksille ja kotitalouksille,ServiceOne,
pienkonehuoltosiekkinen.fi,C_ads_ok_site,S2_advertiser,,none,0.0,,,False,,True,True,AW-994304723,False,,False,False,1,False,False,False,False,True,,2623,Pienkonehuolto | Pienkone | Heinola,PKH Siekkinen Oy,
kodinhoitajapaivaksi.fi,C_ads_ok_site,S3_chat_switcher,cleaning,keywords,0.5,woocommerce,,False,tawk,True,True,AW-10899138129,True,,False,False,1,False,False,False,False,True,wordpress,10022,Kodin siivouspalvelut - Kodinhoitajapäiväksi,Kodinhoitajapäiväksi - Kodin siivouspalvelu,
